"","a1","a2","a3","a4","a5","c1","c2","c3","c4","c5","e1","e2","e3","e4","e5","n1","n2","n3","n4","n5","o1","o2","o3","o4","o5","gender","education","age","id","genderf","educationf","nmiss","retain","agreeableness","conscientiousness","extraversion","neuroticism","openness","perc_agreeableness","perc_conscientiousness","perc_extraversion","perc_neuroticism","perc_openness"
"1",2,4,3,4,4,2,3,3,4,4,3,3,3,4,4,3,4,2,2,3,3,6,3,4,3,1,,16,61617,"male",,2,TRUE,4,2.8,3.8,2.8,3,21.2,7.1,34.9,41.3,2.8
"2",2,4,5,2,5,5,4,4,3,4,1,1,6,4,3,3,3,3,5,5,4,2,4,3,3,2,,18,61618,"female",,2,TRUE,4.2,4,5,3.8,4,27.6,37.5,76.9,69.1,23.7
"3",5,4,5,4,4,4,5,4,2,5,2,4,4,4,5,4,5,4,2,3,4,2,5,5,2,2,,17,61620,"female",,2,TRUE,3.8,4,4.2,3.6,4.8,16,37.5,48.9,63.6,57.7
"4",4,4,6,5,5,4,4,3,5,5,5,3,4,4,4,2,5,2,4,1,3,3,4,3,5,2,,17,61621,"female",,2,TRUE,4.6,3,3.6,2.8,3.2,42.2,9.9,28.5,41.3,4.9
"5",2,3,3,4,5,4,4,5,3,2,2,2,5,4,5,2,3,4,4,3,3,3,4,3,3,1,,17,61622,"male",,2,TRUE,4,4.4,4.8,3.2,3.6,21.2,52.1,69.8,53.1,12.1
"6",6,6,5,6,5,6,6,6,1,3,2,1,6,5,6,3,5,2,2,3,4,3,5,6,1,2,3,21,61623,"female","some college",0,TRUE,4.6,5.6,5.6,3,5,42.2,92.9,93,47.5,66.4
"7",2,5,5,3,5,5,4,4,2,3,4,3,4,5,5,1,2,2,1,1,5,2,5,6,1,1,,18,61624,"male",,2,TRUE,4.6,4.4,4.2,1.4,5.4,42.2,52.1,48.9,6.4,82.2
"8",4,3,1,5,1,3,2,4,2,4,3,6,4,2,1,6,3,2,6,4,3,2,4,5,3,1,2,19,61629,"male","finished HS",0,TRUE,2.6,3.4,2.4,4.2,4.2,2.9,18.6,6.4,79.4,31.3
"9",4,3,6,3,3,6,6,3,4,5,5,3,,4,3,5,5,2,3,3,6,6,6,6,1,1,1,19,61630,"male","HS",1,TRUE,3.6,4,3.4,3.6,5,12.6,37.5,23.1,63.6,66.4
"10",2,5,6,6,5,6,5,6,2,1,2,2,4,5,5,5,5,5,2,4,5,1,5,5,2,2,,17,61633,"female",,2,TRUE,5.4,5.6,4.8,4.2,5.2,78.1,92.9,69.8,79.4,74.6
"11",4,4,5,6,5,4,3,5,3,2,1,3,2,5,4,3,3,4,2,3,5,3,5,6,3,1,1,21,61634,"male","HS",0,TRUE,4.6,4.2,4.2,3,4.8,42.2,44.3,48.9,47.5,57.7
"12",2,5,5,5,5,5,4,5,4,5,3,3,4,5,4,4,5,3,2,,4,6,4,5,4,1,,16,61636,"male",,3,TRUE,5,3.8,4.2,3.4,3.4,60.3,30.7,48.9,58.2,8
"13",5,5,5,6,4,5,4,3,2,2,3,3,3,2,4,1,2,2,2,2,4,2,4,5,2,2,,16,61637,"female",,2,TRUE,4.4,4.4,3.4,1.8,4.6,34.5,52.1,23.1,13.8,48.5
"14",5,5,5,6,6,4,4,4,2,1,2,2,4,6,5,1,1,1,2,1,5,3,4,4,4,1,,16,61639,"male",,2,TRUE,4.8,4.6,5,1.2,4,50.9,60.3,76.9,3.8,23.7
"15",4,5,2,2,1,5,5,5,2,2,3,4,3,6,5,2,4,2,2,3,5,2,5,5,5,1,1,17,61640,"male","HS",0,TRUE,2.6,5,4.2,2.6,4.4,2.9,75.8,48.9,35.3,39.5
"16",4,3,6,6,3,5,5,5,3,5,1,1,6,6,4,4,5,4,5,5,6,6,6,3,2,1,,17,61643,"male",,2,TRUE,4.2,4.2,5.6,4.6,4.2,27.6,44.3,93,87.5,31.3
"17",4,6,6,2,5,4,4,4,4,4,1,2,5,5,5,4,4,4,4,5,5,1,5,6,3,2,,17,61650,"female",,2,TRUE,4.4,3.6,5.2,4.2,5.2,34.5,24.2,83.3,79.4,74.6
"18",5,5,5,4,5,5,5,5,4,3,2,2,4,6,6,6,5,5,4,4,5,1,4,5,4,1,,17,61651,"male",,2,TRUE,4.2,4.4,5.2,4.8,4.6,27.6,52.1,83.3,90.3,48.5
"19",4,4,5,4,3,5,4,5,4,6,1,2,4,5,5,5,6,5,5,2,4,2,2,4,2,2,,16,61653,"female",,2,TRUE,3.8,3.6,5,4.6,4,16,24.2,76.9,87.5,23.7
"20",4,4,6,5,5,1,1,1,5,6,1,1,4,5,6,5,5,5,1,1,4,1,5,3,2,2,,17,61654,"female",,2,TRUE,4.6,1.2,5.4,3.4,4.6,42.2,0.3,88.7,58.2,48.5
"21",5,4,2,1,2,4,6,5,5,4,3,3,5,5,4,1,3,3,2,1,6,1,3,2,4,1,,17,61656,"male",,2,TRUE,2.2,4,4.4,2,4,1.3,37.5,55.8,18.8,23.7
"22",1,6,6,1,5,5,4,4,2,3,1,2,4,3,4,2,5,5,4,6,5,1,6,6,2,2,,17,61659,"female",,2,TRUE,4.8,4.4,4.4,4.4,5.6,50.9,52.1,55.8,83.8,88.9
"23",1,5,6,5,6,4,3,2,4,5,2,1,2,5,2,2,2,2,2,2,6,1,5,5,2,1,5,68,61661,"male","graduate degree",0,TRUE,5.6,2.8,4,2,5.4,86,7.1,41.9,18.8,82.2
"24",2,6,5,6,5,3,5,6,3,6,2,2,4,6,6,4,4,4,6,6,6,1,5,6,1,2,2,27,61664,"female","finished HS",0,TRUE,5.4,3.8,5.2,4.8,5.8,78.1,30.7,83.3,90.3,94.1
"25",4,5,5,6,5,5,5,4,1,1,3,2,5,5,6,2,3,3,1,1,6,2,5,6,2,1,1,18,61667,"male","HS",0,TRUE,4.8,5.2,5,2,5.4,50.9,82.5,76.9,18.8,82.2
